type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-04-08 10:21:56,53.46600472,-2.23216214,3.79,71.206,51.379,0.0,,37,48,20250408-102156,GPS Logger: 20250408-102156 - Run
T,2025-04-08 10:21:57,53.46600763,-2.23216734,3.79,71.053,51.379,0.23,73.0,37,48,,
T,2025-04-08 10:21:58,53.46601159,-2.23217919,3.79,70.696,51.379,0.0,,38,48,,
T,2025-04-08 10:21:59,53.46601401,-2.23218407,3.79,70.283,51.379,0.16,110.0,38,48,,
T,2025-04-08 10:22:00,53.46601814,-2.23218463,3.79,69.891,51.379,0.47,30.0,38,48,,
T,2025-04-08 10:22:01,53.46601873,-2.23219708,3.79,69.434,51.379,0.0,,38,48,,
T,2025-04-08 10:22:02,53.46601902,-2.23220448,3.79,69.209,51.379,0.0,,38,48,,
T,2025-04-08 10:22:03,53.46602035,-2.23220506,3.79,69.106,51.379,0.0,,38,48,,
T,2025-04-08 10:22:04,53.46601959,-2.23220582,3.79,69.36,51.379,0.0,,38,48,,
T,2025-04-08 10:22:05,53.46602021,-2.23220355,3.79,69.059,51.379,0.0,,38,48,,
T,2025-04-08 10:22:06,53.46602061,-2.23220195,3.79,68.731,51.379,0.0,,38,48,,
T,2025-04-08 10:22:07,53.46601898,-2.23220285,3.79,69.012,51.379,0.0,,37,48,,
T,2025-04-08 10:22:08,53.46601758,-2.2322053,3.79,69.289,51.379,0.0,,36,48,,
T,2025-04-08 10:22:09,53.46601709,-2.23220702,3.79,69.717,51.379,0.0,,36,48,,
T,2025-04-08 10:22:10,53.46601652,-2.23221109,3.79,69.855,51.379,0.0,,35,48,,
T,2025-04-08 10:22:11,53.46601607,-2.23221069,3.79,69.895,51.379,0.0,,34,48,,
T,2025-04-08 10:22:12,53.46601675,-2.23221275,3.79,69.318,51.379,0.3,30.0,36,48,,
T,2025-04-08 10:22:13,53.46601445,-2.23221906,3.79,68.591,51.379,0.18,30.0,35,48,,
T,2025-04-08 10:22:14,53.46601672,-2.23223904,3.79,67.717,51.379,0.0,,36,48,,
T,2025-04-08 10:22:15,53.46601923,-2.23225057,3.79,66.409,51.379,0.29,30.0,37,48,,
T,2025-04-08 10:22:16,53.46602259,-2.23225557,3.79,65.846,51.379,0.0,,38,48,,
T,2025-04-08 10:22:17,53.46602503,-2.23225492,3.79,65.258,51.379,0.0,,38,48,,
T,2025-04-08 10:22:18,53.46602495,-2.23225073,3.79,64.624,51.379,0.0,,38,48,,
