type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-04-08 11:13:33,53.47868777,-2.24244672,4.18,46.995,51.401,0.79,112.0,29,43,20250408-111333,GPS Logger: 20250408-111333 - Εάν 2
T,2025-04-08 11:13:34,53.47867559,-2.2424354,3.92,47.292,51.401,0.85,112.0,30,43,,
T,2025-04-08 11:13:35,53.47866169,-2.24241922,3.79,48.611,51.401,1.16,125.0,31,43,,
T,2025-04-08 11:13:36,53.47864901,-2.24240564,3.79,49.199,51.401,1.08,137.0,31,43,,
T,2025-04-08 11:13:37,53.47863837,-2.24239153,3.79,49.018,51.401,1.29,130.0,31,43,,
T,2025-04-08 11:13:38,53.47863135,-2.2423764,3.79,49.857,51.401,1.2,130.0,31,43,,
T,2025-04-08 11:13:39,53.47862422,-2.2423613,3.79,49.934,51.401,1.19,127.0,32,43,,
T,2025-04-08 11:13:40,53.4786169,-2.24234916,3.79,49.336,51.401,1.23,130.0,32,43,,
T,2025-04-08 11:13:41,53.47861176,-2.24233562,3.79,50.623,51.401,1.25,123.0,31,43,,
T,2025-04-08 11:13:42,53.47860987,-2.24231816,3.79,51.043,51.401,1.26,108.0,31,43,,
T,2025-04-08 11:13:43,53.47861147,-2.24230491,3.79,50.966,51.401,1.04,101.0,32,43,,
T,2025-04-08 11:13:44,53.47861364,-2.24229019,3.79,51.264,51.401,1.12,97.0,32,43,,
T,2025-04-08 11:13:45,53.47861575,-2.24227646,3.79,51.633,51.401,1.09,102.0,32,43,,
T,2025-04-08 11:13:46,53.47861719,-2.24226291,3.79,51.842,51.401,1.1,99.0,32,43,,
T,2025-04-08 11:13:47,53.47861954,-2.24224885,3.79,52.38,51.401,1.13,94.0,32,43,,
T,2025-04-08 11:13:48,53.47862643,-2.24223488,3.79,53.858,51.401,1.26,76.0,32,43,,
T,2025-04-08 11:13:49,53.47863448,-2.24222113,3.79,54.68,51.401,1.25,71.0,32,43,,
T,2025-04-08 11:13:50,53.4786367,-2.24220229,3.79,54.7,51.401,1.38,93.0,32,43,,
T,2025-04-08 11:13:51,53.47863623,-2.24219501,3.79,53.992,51.401,0.74,98.0,32,43,,
T,2025-04-08 11:13:52,53.47863791,-2.24218909,4.17,53.98,51.401,0.7,83.0,32,43,,
T,2025-04-08 11:13:53,53.47864363,-2.24217598,4.84,53.863,51.401,1.19,70.0,32,43,,
T,2025-04-08 11:13:54,53.47865082,-2.24216468,4.77,55.054,51.401,1.09,58.0,31,43,,
T,2025-04-08 11:13:55,53.47866007,-2.24216021,4.59,56.578,51.401,0.95,39.0,31,43,,
T,2025-04-08 11:13:56,53.47866789,-2.24215574,4.9,57.49,51.401,0.92,43.0,32,43,,
T,2025-04-08 11:13:57,53.47867075,-2.24214126,4.43,58.833,51.401,0.99,70.0,32,43,,
T,2025-04-08 11:13:58,53.47866406,-2.24212668,4.69,57.594,51.4,0.78,84.0,31,43,,
T,2025-04-08 11:13:59,53.47865295,-2.24210894,5.06,57.095,51.4,0.85,96.0,31,43,,
T,2025-04-08 11:14:00,53.47863664,-2.24208533,4.71,56.136,51.4,1.4,112.0,31,43,,
T,2025-04-08 11:14:01,53.47861856,-2.24206647,4.3,55.321,51.4,1.27,124.0,30,43,,
T,2025-04-08 11:14:02,53.47860341,-2.24203918,3.79,55.689,51.4,1.39,121.0,29,43,,
T,2025-04-08 11:14:03,53.47858249,-2.24201136,4.0,52.368,51.4,1.45,122.0,28,43,,
T,2025-04-08 11:14:04,53.47856781,-2.24199604,3.79,52.925,51.4,1.14,125.0,28,43,,
T,2025-04-08 11:14:05,53.4785554,-2.24197739,3.79,52.519,51.4,1.27,113.0,27,43,,
T,2025-04-08 11:14:06,53.47854508,-2.24196177,3.79,53.157,51.4,1.25,118.0,22,43,,
T,2025-04-08 11:14:07,53.47852837,-2.24195387,3.79,52.622,51.4,1.29,146.0,20,43,,
T,2025-04-08 11:14:08,53.47851093,-2.24194127,3.92,51.174,51.4,1.22,150.0,19,43,,
T,2025-04-08 11:14:09,53.47850001,-2.24192359,3.96,50.704,51.4,1.36,122.0,19,43,,
T,2025-04-08 11:14:10,53.47848729,-2.24190525,4.19,49.47,51.4,1.25,130.0,18,43,,
T,2025-04-08 11:14:11,53.47847998,-2.24188924,4.22,49.489,51.4,1.26,115.0,18,43,,
T,2025-04-08 11:14:12,53.47847228,-2.24188349,3.86,48.832,51.4,1.19,126.0,18,43,,
T,2025-04-08 11:14:13,53.47846324,-2.24187454,3.98,49.795,51.4,1.27,146.0,16,43,,
T,2025-04-08 11:14:14,53.47845827,-2.24186074,4.12,50.991,51.4,1.22,127.0,18,43,,
T,2025-04-08 11:14:15,53.47844923,-2.24184805,4.03,49.679,51.4,1.16,134.0,22,43,,
T,2025-04-08 11:14:16,53.4784381,-2.241834,3.96,48.025,51.4,1.16,129.0,24,43,,
T,2025-04-08 11:14:17,53.47842588,-2.2418243,3.79,47.614,51.4,1.2,145.0,26,43,,
T,2025-04-08 11:14:18,53.47841372,-2.24181276,3.79,48.745,51.4,1.22,146.0,26,43,,
T,2025-04-08 11:14:19,53.47840328,-2.24180332,3.79,47.591,51.4,1.16,133.0,26,43,,
T,2025-04-08 11:14:20,53.47839532,-2.24179263,3.79,47.666,51.4,1.18,130.0,27,43,,
T,2025-04-08 11:14:21,53.47838869,-2.2417883,3.79,46.911,51.4,1.14,132.0,26,43,,
T,2025-04-08 11:14:22,53.47838111,-2.24178052,3.79,47.031,51.4,1.23,132.0,26,43,,
T,2025-04-08 11:14:23,53.47837572,-2.24176399,3.79,47.508,51.4,1.22,124.0,27,43,,
T,2025-04-08 11:14:24,53.47836985,-2.24174706,3.79,48.5,51.4,1.22,117.0,26,43,,
T,2025-04-08 11:14:25,53.47836558,-2.24173249,3.79,49.219,51.4,1.15,115.0,26,43,,
T,2025-04-08 11:14:26,53.47835818,-2.24171866,3.79,49.444,51.4,1.24,131.0,27,43,,
T,2025-04-08 11:14:27,53.4783508,-2.24170961,3.79,48.795,51.4,1.2,134.0,26,43,,
T,2025-04-08 11:14:28,53.47834713,-2.24170196,3.79,49.331,51.4,1.17,126.0,25,43,,
T,2025-04-08 11:14:29,53.47834284,-2.24169616,3.79,49.423,51.4,1.18,131.0,22,43,,
T,2025-04-08 11:14:30,53.47833739,-2.24168821,3.79,49.548,51.4,1.18,134.0,22,43,,
T,2025-04-08 11:14:31,53.47833255,-2.24167739,3.79,50.304,51.4,1.23,127.0,20,43,,
T,2025-04-08 11:14:32,53.47832653,-2.24166486,3.79,50.153,51.4,1.25,129.0,17,43,,
T,2025-04-08 11:14:33,53.47831656,-2.24165299,3.79,50.716,51.4,1.26,126.0,17,43,,
T,2025-04-08 11:14:34,53.47830619,-2.2416419,3.79,50.102,51.4,1.26,129.0,16,43,,
T,2025-04-08 11:14:35,53.47829455,-2.24163108,3.79,49.926,51.399,1.32,134.0,15,43,,
T,2025-04-08 11:14:36,53.47828568,-2.24162191,3.79,49.637,51.399,1.28,137.0,17,43,,
T,2025-04-08 11:14:37,53.47828009,-2.24160623,3.79,49.853,51.399,1.31,119.0,19,43,,
T,2025-04-08 11:14:38,53.47827574,-2.24159622,3.79,49.697,51.399,1.21,128.0,21,43,,
T,2025-04-08 11:14:39,53.47827149,-2.24158377,3.79,50.092,51.399,1.27,127.0,22,43,,
T,2025-04-08 11:14:40,53.47826656,-2.24156972,3.79,50.594,51.399,1.27,127.0,22,43,,
T,2025-04-08 11:14:41,53.47825873,-2.24155617,3.79,50.339,51.399,1.36,140.0,23,43,,
T,2025-04-08 11:14:42,53.47825104,-2.2415415,3.79,50.338,51.399,1.28,132.0,24,43,,
T,2025-04-08 11:14:43,53.47824383,-2.24152906,3.79,50.597,51.399,1.29,133.0,26,43,,
