type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-04-08 09:21:56,53.46600472,-2.23216214,3.79,71.206,51.379,0.000,,37,48,20250408-102156,GPS Logger: 20250408-102156 - Run
T,2025-04-08 09:21:57,53.46600763,-2.23216734,3.79,71.053,51.379,0.230,73,37,48,,
T,2025-04-08 09:21:58,53.46601159,-2.23217919,3.79,70.696,51.379,0.000,,38,48,,
T,2025-04-08 09:21:59,53.46601401,-2.23218407,3.79,70.283,51.379,0.160,110,38,48,,
T,2025-04-08 09:22:00,53.46601814,-2.23218463,3.79,69.891,51.379,0.470,30,38,48,,
T,2025-04-08 09:22:01,53.46601873,-2.23219708,3.79,69.434,51.379,0.000,,38,48,,
T,2025-04-08 09:22:02,53.46601902,-2.23220448,3.79,69.209,51.379,0.000,,38,48,,
T,2025-04-08 09:22:03,53.46602035,-2.23220506,3.79,69.106,51.379,0.000,,38,48,,
T,2025-04-08 09:22:04,53.46601959,-2.23220582,3.79,69.360,51.379,0.000,,38,48,,
T,2025-04-08 09:22:05,53.46602021,-2.23220355,3.79,69.059,51.379,0.000,,38,48,,
T,2025-04-08 09:22:06,53.46602061,-2.23220195,3.79,68.731,51.379,0.000,,38,48,,
T,2025-04-08 09:22:07,53.46601898,-2.23220285,3.79,69.012,51.379,0.000,,37,48,,
T,2025-04-08 09:22:08,53.46601758,-2.23220530,3.79,69.289,51.379,0.000,,36,48,,
T,2025-04-08 09:22:09,53.46601709,-2.23220702,3.79,69.717,51.379,0.000,,36,48,,
T,2025-04-08 09:22:10,53.46601652,-2.23221109,3.79,69.855,51.379,0.000,,35,48,,
T,2025-04-08 09:22:11,53.46601607,-2.23221069,3.79,69.895,51.379,0.000,,34,48,,
T,2025-04-08 09:22:12,53.46601675,-2.23221275,3.79,69.318,51.379,0.300,30,36,48,,
T,2025-04-08 09:22:13,53.46601445,-2.23221906,3.79,68.591,51.379,0.180,30,35,48,,
T,2025-04-08 09:22:14,53.46601672,-2.23223904,3.79,67.717,51.379,0.000,,36,48,,
T,2025-04-08 09:22:15,53.46601923,-2.23225057,3.79,66.409,51.379,0.290,30,37,48,,
T,2025-04-08 09:22:16,53.46602259,-2.23225557,3.79,65.846,51.379,0.000,,38,48,,
T,2025-04-08 09:22:17,53.46602503,-2.23225492,3.79,65.258,51.379,0.000,,38,48,,
T,2025-04-08 09:22:18,53.46602495,-2.23225073,3.79,64.624,51.379,0.000,,38,48,,
T,2025-04-08 09:22:19,53.46602347,-2.23225082,3.79,64.211,51.379,0.180,30,37,48,,
T,2025-04-08 09:22:20,53.46602156,-2.23224869,3.79,62.870,51.379,0.000,,36,48,,
T,2025-04-08 09:22:21,53.46601839,-2.23224559,3.79,62.761,51.379,0.420,30,36,48,,
T,2025-04-08 09:22:22,53.46601100,-2.23224133,3.79,62.237,51.379,0.420,30,35,48,,
T,2025-04-08 09:22:23,53.46600331,-2.23224540,3.79,61.760,51.379,0.530,30,36,48,,
T,2025-04-08 09:22:24,53.46599603,-2.23224833,3.79,61.479,51.379,0.610,30,36,48,,
T,2025-04-08 09:22:25,53.46598957,-2.23224895,3.79,61.273,51.379,0.570,30,35,48,,
T,2025-04-08 09:22:26,53.46598761,-2.23225369,3.81,61.172,51.379,0.160,30,35,48,,
T,2025-04-08 09:22:27,53.46598331,-2.23226559,3.81,59.990,51.379,0.280,30,36,48,,
T,2025-04-08 09:22:28,53.46597836,-2.23227395,4.18,59.473,51.380,0.390,30,37,48,,
T,2025-04-08 09:22:29,53.46597934,-2.23229728,5.44,58.477,51.380,0.830,30,37,48,,
