type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-04-08 10:13:33,53.47868777,-2.24244672,4.18,46.995,51.401,0.790,112,29,43,20250408-111333,GPS Logger: 20250408-111333 - Εάν 2
T,2025-04-08 10:13:34,53.47867559,-2.24243540,3.92,47.292,51.401,0.850,112,30,43,,
T,2025-04-08 10:13:35,53.47866169,-2.24241922,3.79,48.611,51.401,1.160,125,31,43,,
T,2025-04-08 10:13:36,53.47864901,-2.24240564,3.79,49.199,51.401,1.080,137,31,43,,
T,2025-04-08 10:13:37,53.47863837,-2.24239153,3.79,49.018,51.401,1.290,130,31,43,,
T,2025-04-08 10:13:38,53.47863135,-2.24237640,3.79,49.857,51.401,1.200,130,31,43,,
T,2025-04-08 10:13:39,53.47862422,-2.24236130,3.79,49.934,51.401,1.190,127,32,43,,
T,2025-04-08 10:13:40,53.47861690,-2.24234916,3.79,49.336,51.401,1.230,130,32,43,,
T,2025-04-08 10:13:41,53.47861176,-2.24233562,3.79,50.623,51.401,1.250,123,31,43,,
T,2025-04-08 10:13:42,53.47860987,-2.24231816,3.79,51.043,51.401,1.260,108,31,43,,
T,2025-04-08 10:13:43,53.47861147,-2.24230491,3.79,50.966,51.401,1.040,101,32,43,,
T,2025-04-08 10:13:44,53.47861364,-2.24229019,3.79,51.264,51.401,1.120,97,32,43,,
T,2025-04-08 10:13:45,53.47861575,-2.24227646,3.79,51.633,51.401,1.090,102,32,43,,
T,2025-04-08 10:13:46,53.47861719,-2.24226291,3.79,51.842,51.401,1.100,99,32,43,,
T,2025-04-08 10:13:47,53.47861954,-2.24224885,3.79,52.380,51.401,1.130,94,32,43,,
T,2025-04-08 10:13:48,53.47862643,-2.24223488,3.79,53.858,51.401,1.260,76,32,43,,
T,2025-04-08 10:13:49,53.47863448,-2.24222113,3.79,54.680,51.401,1.250,71,32,43,,
T,2025-04-08 10:13:50,53.47863670,-2.24220229,3.79,54.700,51.401,1.380,93,32,43,,
T,2025-04-08 10:13:51,53.47863623,-2.24219501,3.79,53.992,51.401,0.740,98,32,43,,
T,2025-04-08 10:13:52,53.47863791,-2.24218909,4.17,53.980,51.401,0.700,83,32,43,,
T,2025-04-08 10:13:53,53.47864363,-2.24217598,4.84,53.863,51.401,1.190,70,32,43,,
T,2025-04-08 10:13:54,53.47865082,-2.24216468,4.77,55.054,51.401,1.090,58,31,43,,
T,2025-04-08 10:13:55,53.47866007,-2.24216021,4.59,56.578,51.401,0.950,39,31,43,,
T,2025-04-08 10:13:56,53.47866789,-2.24215574,4.90,57.490,51.401,0.920,43,32,43,,
T,2025-04-08 10:13:57,53.47867075,-2.24214126,4.43,58.833,51.401,0.990,70,32,43,,
T,2025-04-08 10:13:58,53.47866406,-2.24212668,4.69,57.594,51.400,0.780,84,31,43,,
T,2025-04-08 10:13:59,53.47865295,-2.24210894,5.06,57.095,51.400,0.850,96,31,43,,
T,2025-04-08 10:14:00,53.47863664,-2.24208533,4.71,56.136,51.400,1.400,112,31,43,,
T,2025-04-08 10:14:01,53.47861856,-2.24206647,4.30,55.321,51.400,1.270,124,30,43,,
T,2025-04-08 10:14:02,53.47860341,-2.24203918,3.79,55.689,51.400,1.390,121,29,43,,
T,2025-04-08 10:14:03,53.47858249,-2.24201136,4.00,52.368,51.400,1.450,122,28,43,,
T,2025-04-08 10:14:04,53.47856781,-2.24199604,3.79,52.925,51.400,1.140,125,28,43,,
T,2025-04-08 10:14:05,53.47855540,-2.24197739,3.79,52.519,51.400,1.270,113,27,43,,
T,2025-04-08 10:14:06,53.47854508,-2.24196177,3.79,53.157,51.400,1.250,118,22,43,,
T,2025-04-08 10:14:07,53.47852837,-2.24195387,3.79,52.622,51.400,1.290,146,20,43,,
T,2025-04-08 10:14:08,53.47851093,-2.24194127,3.92,51.174,51.400,1.220,150,19,43,,
T,2025-04-08 10:14:09,53.47850001,-2.24192359,3.96,50.704,51.400,1.360,122,19,43,,
T,2025-04-08 10:14:10,53.47848729,-2.24190525,4.19,49.470,51.400,1.250,130,18,43,,
T,2025-04-08 10:14:11,53.47847998,-2.24188924,4.22,49.489,51.400,1.260,115,18,43,,
T,2025-04-08 10:14:12,53.47847228,-2.24188349,3.86,48.832,51.400,1.190,126,18,43,,
T,2025-04-08 10:14:13,53.47846324,-2.24187454,3.98,49.795,51.400,1.270,146,16,43,,
T,2025-04-08 10:14:14,53.47845827,-2.24186074,4.12,50.991,51.400,1.220,127,18,43,,
T,2025-04-08 10:14:15,53.47844923,-2.24184805,4.03,49.679,51.400,1.160,134,22,43,,
T,2025-04-08 10:14:16,53.47843810,-2.24183400,3.96,48.025,51.400,1.160,129,24,43,,
T,2025-04-08 10:14:17,53.47842588,-2.24182430,3.79,47.614,51.400,1.200,145,26,43,,
T,2025-04-08 10:14:18,53.47841372,-2.24181276,3.79,48.745,51.400,1.220,146,26,43,,
T,2025-04-08 10:14:19,53.47840328,-2.24180332,3.79,47.591,51.400,1.160,133,26,43,,
T,2025-04-08 10:14:20,53.47839532,-2.24179263,3.79,47.666,51.400,1.180,130,27,43,,
T,2025-04-08 10:14:21,53.47838869,-2.24178830,3.79,46.911,51.400,1.140,132,26,43,,
T,2025-04-08 10:14:22,53.47838111,-2.24178052,3.79,47.031,51.400,1.230,132,26,43,,
T,2025-04-08 10:14:23,53.47837572,-2.24176399,3.79,47.508,51.400,1.220,124,27,43,,
T,2025-04-08 10:14:24,53.47836985,-2.24174706,3.79,48.500,51.400,1.220,117,26,43,,
T,2025-04-08 10:14:25,53.47836558,-2.24173249,3.79,49.219,51.400,1.150,115,26,43,,
T,2025-04-08 10:14:26,53.47835818,-2.24171866,3.79,49.444,51.400,1.240,131,27,43,,
T,2025-04-08 10:14:27,53.47835080,-2.24170961,3.79,48.795,51.400,1.200,134,26,43,,
T,2025-04-08 10:14:28,53.47834713,-2.24170196,3.79,49.331,51.400,1.170,126,25,43,,
T,2025-04-08 10:14:29,53.47834284,-2.24169616,3.79,49.423,51.400,1.180,131,22,43,,
T,2025-04-08 10:14:30,53.47833739,-2.24168821,3.79,49.548,51.400,1.180,134,22,43,,
