                     Time,        BattPer,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,     RD0_raw_us,  RD0_raw_us_sd,         RD0_us,      RD0_us_sd,         LTC0_v,      LTC0_v_sd,        RD0_raw,        RD1_raw,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  08/04/2025 10:12:01.417,    1.29848e+00,            nan,    0.00000e+00,            nan,    0.00000e+00,            nan,    0.00000e+00,            nan,    0.00000e+00,    7.68135e+02,    0.00000e+00,    2.03329e+01,    0.00000e+00,    2.18547e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,            nan,    0.00000e+00,   -1.01800e+00,    0.00000e+00,        1.94338,               ,              0,             -1,       Disabled
  08/04/2025 10:12:02.271,    4.53615e+00,    2.10529e+00,    0.00000e+00,    3.68447e+03,    0.00000e+00,    4.24219e+02,    0.00000e+00,    2.11308e+00,    0.00000e+00,    7.69742e+02,    0.00000e+00,    2.03320e+01,    0.00000e+00,    2.18625e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95583e+00,    0.00000e+00,   -1.01800e+00,    0.00000e+00,        1.95448,               ,              3,             -1,       Disabled
  08/04/2025 10:12:03.126,    4.97919e+00,    2.10452e+00,    0.00000e+00,    3.62518e+03,    0.00000e+00,    4.73783e+02,    0.00000e+00,    2.11217e+00,    0.00000e+00,    7.69892e+02,    0.00000e+00,    2.03330e+01,    0.00000e+00,    2.18561e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95636e+00,    0.00000e+00,   -1.01771e+00,    0.00000e+00,        1.95491,               ,              3,             -1,       Disabled
  08/04/2025 10:12:03.981,    4.84332e+00,    2.10717e+00,    0.00000e+00,    3.67974e+03,    0.00000e+00,    4.14220e+02,    0.00000e+00,    2.11495e+00,    0.00000e+00,    7.69942e+02,    0.00000e+00,    2.03466e+01,    0.00000e+00,    2.18491e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95668e+00,    0.00000e+00,   -1.01771e+00,    0.00000e+00,        1.95531,               ,              3,             -1,       Disabled
  08/04/2025 10:12:04.834,    4.86334e+00,    2.10801e+00,    0.00000e+00,    3.70879e+03,    0.00000e+00,    3.99252e+02,    0.00000e+00,    2.11585e+00,    0.00000e+00,    7.69890e+02,    0.00000e+00,    2.03132e+01,    0.00000e+00,    2.18389e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95614e+00,    0.00000e+00,   -1.01771e+00,    0.00000e+00,        1.95479,               ,              3,             -1,       Disabled
  08/04/2025 10:12:05.688,    4.71221e+00,    2.10673e+00,    0.00000e+00,    3.63458e+03,    0.00000e+00,    3.94303e+02,    0.00000e+00,    2.11442e+00,    0.00000e+00,    7.69909e+02,    0.00000e+00,    2.03304e+01,    0.00000e+00,    2.18270e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95606e+00,    0.00000e+00,   -1.01771e+00,    0.00000e+00,        1.95471,               ,              3,             -1,       Disabled
  08/04/2025 10:12:06.543,    4.86863e+00,    2.10742e+00,    0.00000e+00,    3.51074e+03,    0.00000e+00,    3.99009e+02,    0.00000e+00,    2.11484e+00,    0.00000e+00,    7.69888e+02,    0.00000e+00,    2.03144e+01,    0.00000e+00,    2.18191e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95593e+00,    0.00000e+00,   -1.01789e+00,    0.00000e+00,        1.95456,               ,              3,             -1,       Disabled
  08/04/2025 10:12:07.398,    4.72969e+00,    2.10636e+00,    0.00000e+00,    3.57124e+03,    0.00000e+00,    4.08175e+02,    0.00000e+00,    2.11391e+00,    0.00000e+00,    7.69970e+02,    0.00000e+00,    2.03027e+01,    0.00000e+00,    2.18087e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95555e+00,    0.00000e+00,   -1.01789e+00,    0.00000e+00,        1.95417,               ,              3,             -1,       Disabled
  08/04/2025 10:12:08.253,    4.74664e+00,    2.10601e+00,    0.00000e+00,    3.56065e+03,    0.00000e+00,    4.30191e+02,    0.00000e+00,    2.11354e+00,    0.00000e+00,    7.69981e+02,    0.00000e+00,    2.03335e+01,    0.00000e+00,    2.18009e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95615e+00,    0.00000e+00,   -1.01813e+00,    0.00000e+00,        1.95472,               ,              3,             -1,       Disabled
  08/04/2025 10:12:09.106,    4.66043e+00,    2.10563e+00,    0.00000e+00,    3.60778e+03,    0.00000e+00,    4.60544e+02,    0.00000e+00,    2.11325e+00,    0.00000e+00,    7.69883e+02,    0.00000e+00,    2.03110e+01,    0.00000e+00,    2.17931e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95529e+00,    0.00000e+00,   -1.01813e+00,    0.00000e+00,        1.95381,               ,              3,             -1,       Disabled
