SN:US4300160800000166 BD:Jun  6 2017 VC:a4fd83a MD5:e01016c029c97fe76f1916ceca936799
                     Time,        BattPer,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,     RD0_raw_us,  RD0_raw_us_sd,         RD0_us,      RD0_us_sd,         LTC0_v,      LTC0_v_sd,        RD0_raw,        RD1_raw,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  14/04/2026 13:13:40.329,    1.39782e+02,            nan,    0.00000e+00,            nan,    0.00000e+00,            nan,    0.00000e+00,            nan,    0.00000e+00,    7.63082e+02,    0.00000e+00,    1.89599e+01,    0.00000e+00,    2.18115e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,            nan,    0.00000e+00,   -1.01900e+00,    0.00000e+00,        1.93021,               ,              0,             -1,       Disabled
  14/04/2026 13:13:41.183,    1.39315e+02,    2.08944e+00,    0.00000e+00,    7.04506e+03,    0.00000e+00,    4.02534e+02,    0.00000e+00,    2.10426e+00,    0.00000e+00,    7.65184e+02,    0.00000e+00,    1.89709e+01,    0.00000e+00,    2.18515e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94280e+00,    0.00000e+00,   -1.01900e+00,    0.00000e+00,         1.9415,               ,              3,             -1,       Disabled
  14/04/2026 13:13:42.039,    1.40815e+02,    2.09039e+00,    0.00000e+00,    6.90684e+03,    0.00000e+00,    4.05374e+02,    0.00000e+00,    2.10493e+00,    0.00000e+00,    7.65240e+02,    0.00000e+00,    1.89728e+01,    0.00000e+00,    2.18592e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94309e+00,    0.00000e+00,   -1.01889e+00,    0.00000e+00,        1.94176,               ,              3,             -1,       Disabled
  14/04/2026 13:13:42.893,    1.40260e+02,    2.09043e+00,    0.00000e+00,    6.86005e+03,    0.00000e+00,    4.06603e+02,    0.00000e+00,    2.10487e+00,    0.00000e+00,    7.65308e+02,    0.00000e+00,    1.89732e+01,    0.00000e+00,    2.18669e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94465e+00,    0.00000e+00,   -1.01889e+00,    0.00000e+00,         1.9433,               ,              3,             -1,       Disabled
  14/04/2026 13:13:43.746,    1.39192e+02,    2.09114e+00,    0.00000e+00,    6.78405e+03,    0.00000e+00,    4.12018e+02,    0.00000e+00,    2.10542e+00,    0.00000e+00,    7.65260e+02,    0.00000e+00,    1.89754e+01,    0.00000e+00,    2.18730e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94450e+00,    0.00000e+00,   -1.01906e+00,    0.00000e+00,        1.94313,               ,              3,             -1,       Disabled
  14/04/2026 13:13:44.601,    1.40379e+02,    2.08965e+00,    0.00000e+00,    6.69989e+03,    0.00000e+00,    4.18828e+02,    0.00000e+00,    2.10375e+00,    0.00000e+00,    7.65230e+02,    0.00000e+00,    1.89497e+01,    0.00000e+00,    2.18794e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94557e+00,    0.00000e+00,   -1.01906e+00,    0.00000e+00,        1.94418,               ,              3,             -1,       Disabled
  14/04/2026 13:13:45.455,    1.40609e+02,    2.09110e+00,    0.00000e+00,    6.77844e+03,    0.00000e+00,    4.20032e+02,    0.00000e+00,    2.10537e+00,    0.00000e+00,    7.65284e+02,    0.00000e+00,    1.89772e+01,    0.00000e+00,    2.18873e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94418e+00,    0.00000e+00,   -1.01939e+00,    0.00000e+00,        1.94278,               ,              3,             -1,       Disabled
  14/04/2026 13:13:46.310,    1.40360e+02,    2.09095e+00,    0.00000e+00,    6.74197e+03,    0.00000e+00,    4.24995e+02,    0.00000e+00,    2.10515e+00,    0.00000e+00,    7.65270e+02,    0.00000e+00,    1.89787e+01,    0.00000e+00,    2.18929e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94427e+00,    0.00000e+00,   -1.01939e+00,    0.00000e+00,        1.94287,               ,              3,             -1,       Disabled
  14/04/2026 13:13:47.165,    1.40099e+02,    2.09011e+00,    0.00000e+00,    6.70775e+03,    0.00000e+00,    4.28498e+02,    0.00000e+00,    2.10423e+00,    0.00000e+00,    7.65252e+02,    0.00000e+00,    1.89527e+01,    0.00000e+00,    2.18995e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94391e+00,    0.00000e+00,   -1.01977e+00,    0.00000e+00,        1.94249,               ,              3,             -1,       Disabled
  14/04/2026 13:13:48.018,    1.41052e+02,    2.09097e+00,    0.00000e+00,    6.70100e+03,    0.00000e+00,    4.33787e+02,    0.00000e+00,    2.10508e+00,    0.00000e+00,    7.65277e+02,    0.00000e+00,    1.89799e+01,    0.00000e+00,    2.19059e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94369e+00,    0.00000e+00,   -1.01977e+00,    0.00000e+00,        1.94226,               ,              3,             -1,       Disabled
