                     Time,        BattPer,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,     RD0_raw_us,  RD0_raw_us_sd,         RD0_us,      RD0_us_sd,         LTC0_v,      LTC0_v_sd,        RD0_raw,        RD1_raw,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  14/04/2026 10:19:56.535,    7.65499e+01,            nan,    0.00000e+00,            nan,    0.00000e+00,            nan,    0.00000e+00,            nan,    0.00000e+00,    7.63581e+02,    0.00000e+00,    1.83631e+01,    0.00000e+00,    2.09864e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,            nan,    0.00000e+00,   -1.03000e+00,    0.00000e+00,        1.93952,               ,              0,             -1,       Disabled
  14/04/2026 10:19:57.390,    7.97665e+01,    2.09682e+00,    0.00000e+00,    6.06493e+03,    0.00000e+00,    4.12157e+02,    0.00000e+00,    2.10961e+00,    0.00000e+00,    7.65110e+02,    0.00000e+00,    1.83641e+01,    0.00000e+00,    2.10259e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95147e+00,    0.00000e+00,   -1.03000e+00,    0.00000e+00,        1.95023,               ,              3,             -1,       Disabled
  14/04/2026 10:19:58.244,    8.01518e+01,    2.09793e+00,    0.00000e+00,    5.99275e+03,    0.00000e+00,    4.11908e+02,    0.00000e+00,    2.11058e+00,    0.00000e+00,    7.65214e+02,    0.00000e+00,    1.83652e+01,    0.00000e+00,    2.10344e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95142e+00,    0.00000e+00,   -1.02882e+00,    0.00000e+00,        1.95015,               ,              3,             -1,       Disabled
  14/04/2026 10:19:59.099,    8.01036e+01,    2.09740e+00,    0.00000e+00,    5.89649e+03,    0.00000e+00,    4.15811e+02,    0.00000e+00,    2.10984e+00,    0.00000e+00,    7.65245e+02,    0.00000e+00,    1.83610e+01,    0.00000e+00,    2.10427e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95201e+00,    0.00000e+00,   -1.02882e+00,    0.00000e+00,        1.95072,               ,              3,             -1,       Disabled
  14/04/2026 10:19:59.953,    8.02239e+01,    2.09662e+00,    0.00000e+00,    5.80521e+03,    0.00000e+00,    4.19060e+02,    0.00000e+00,    2.10887e+00,    0.00000e+00,    7.65217e+02,    0.00000e+00,    1.83667e+01,    0.00000e+00,    2.10483e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95202e+00,    0.00000e+00,   -1.02806e+00,    0.00000e+00,        1.95071,               ,              3,             -1,       Disabled
  14/04/2026 10:20:00.807,    8.02619e+01,    2.09937e+00,    0.00000e+00,    5.79870e+03,    0.00000e+00,    4.22460e+02,    0.00000e+00,    2.11161e+00,    0.00000e+00,    7.65254e+02,    0.00000e+00,    1.83676e+01,    0.00000e+00,    2.10590e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95038e+00,    0.00000e+00,   -1.02806e+00,    0.00000e+00,        1.94905,               ,              3,             -1,       Disabled
  14/04/2026 10:20:01.662,    8.02694e+01,    2.09835e+00,    0.00000e+00,    5.75549e+03,    0.00000e+00,    4.22707e+02,    0.00000e+00,    2.11050e+00,    0.00000e+00,    7.65178e+02,    0.00000e+00,    1.83669e+01,    0.00000e+00,    2.10650e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.94985e+00,    0.00000e+00,   -1.02753e+00,    0.00000e+00,        1.94851,               ,              3,             -1,       Disabled
  14/04/2026 10:20:02.516,    8.02693e+01,    2.09645e+00,    0.00000e+00,    5.74203e+03,    0.00000e+00,    4.31224e+02,    0.00000e+00,    2.10855e+00,    0.00000e+00,    7.65227e+02,    0.00000e+00,    1.83736e+01,    0.00000e+00,    2.10734e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95169e+00,    0.00000e+00,   -1.02753e+00,    0.00000e+00,        1.95033,               ,              3,             -1,       Disabled
  14/04/2026 10:20:03.371,    8.02606e+01,    2.09723e+00,    0.00000e+00,    5.80013e+03,    0.00000e+00,    4.35378e+02,    0.00000e+00,    2.10946e+00,    0.00000e+00,    7.65266e+02,    0.00000e+00,    1.83875e+01,    0.00000e+00,    2.10815e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95184e+00,    0.00000e+00,   -1.02717e+00,    0.00000e+00,        1.95047,               ,              3,             -1,       Disabled
  14/04/2026 10:20:04.224,    8.02782e+01,    2.09365e+00,    0.00000e+00,    5.74400e+03,    0.00000e+00,    4.38188e+02,    0.00000e+00,    2.10574e+00,    0.00000e+00,    7.65265e+02,    0.00000e+00,    1.83661e+01,    0.00000e+00,    2.10911e+01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.95238e+00,    0.00000e+00,   -1.02717e+00,    0.00000e+00,          1.951,               ,              3,             -1,       Disabled
